annotation_id,fight_id,fight_url,event_date,event_name,fighter_1_name,fighter_2_name,primary_category,controversial_decision,injury_finish,short_notice_fight,weight_miss,fighter_moving_divisions,major_layoff,affected_fighter,annotation_summary,confidence,source_name,source_url,review_status
manual-0001,dfa692db6d39330c,http://ufcstats.com/fight-details/dfa692db6d39330c,2025-12-06,UFC 323: Dvalishvili vs. Yan 2,Alexandre Pantoja,Joshua Van,injury_finish,false,true,false,false,false,false,Alexandre Pantoja,"Freak arm/elbow injury ended the flyweight title fight in 26 seconds; UFCStats records KO/TKO but not the injury context.",high,Sherdog,https://www.sherdog.com/news/news/American-Top-Team-Coach-Brings-Good-News-About-Alexandre-Pantojas-Injury-199396,reviewed
manual-0002,2a17686c6b5f334e,http://ufcstats.com/fight-details/2a17686c6b5f334e,2013-12-28,UFC 168: Weidman vs Silva 2,Chris Weidman,Anderson Silva,injury_finish,false,true,false,false,false,false,Anderson Silva,"Silva snapped his leg throwing a kick; official result is TKO but the decisive context is fight-ending injury.",high,ESPN,https://www.espn.com/mma/story/_/id/10194818/ufc-168-chris-weidman-defends-middleweight-belt-anderson-silva-retires-due-injury,reviewed
manual-0003,7d0ce28ce8a77eb1,http://ufcstats.com/fight-details/7d0ce28ce8a77eb1,2021-07-10,UFC 264: Poirier vs. McGregor 3,Dustin Poirier,Conor McGregor,injury_finish,false,true,false,false,false,false,Conor McGregor,"McGregor suffered a lower-leg injury at the end of round 1; UFCStats has doctor's stoppage but not the broken-leg context.",high,ESPN,https://www.espn.com/mma/story/_/id/31798195/dustin-poirier-wins-trilogy-rematch-tko-conor-mcgregor-injures-leg-round-1,reviewed
manual-0004,7503d5c892f238fb,http://ufcstats.com/fight-details/7503d5c892f238fb,2022-07-16,UFC Fight Night: Ortega vs. Rodriguez,Brian Ortega,Yair Rodriguez,injury_finish,false,true,false,false,false,false,Brian Ortega,"Ortega suffered a shoulder injury during a grappling exchange; official result is TKO for Rodriguez.",high,ESPN,https://www.espn.com/mma/story/_/id/34254804/yair-rodriguez-earns-tko-win-brian-ortega-suffers-shoulder-injury,reviewed
manual-0005,d0fb381cacbb0446,http://ufcstats.com/fight-details/d0fb381cacbb0446,2022-07-23,UFC Fight Night: Blaydes vs. Aspinall,Curtis Blaydes,Tom Aspinall,injury_finish,false,true,false,false,false,false,Tom Aspinall,"Aspinall suffered a right knee injury 15 seconds into the fight; official result is injury TKO for Blaydes.",high,ESPN,https://www.espn.com/mma/ufc/story/_/id/34286109/curtis-blaydes-gets-tko-win-tom-aspinally-suffers-freak-injury-early-ufc-heavyweight-bout,reviewed
manual-0006,1820fed0fbcf6294,http://ufcstats.com/fight-details/1820fed0fbcf6294,2021-04-24,UFC 261: Usman vs. Masvidal 2,Uriah Hall,Chris Weidman,injury_finish,false,true,false,false,false,false,Chris Weidman,"Weidman badly injured his leg throwing the first kick of the fight; official result is KO/TKO but needs injury context.",high,ESPN,https://www.espn.com/mma/story/_/id/31327717/social-media-fighter-reactions-chris-weidman-leg-injury-uriah-hall-ufc-261,reviewed
manual-0007,c4e16d57dd9a1b39,http://ufcstats.com/fight-details/c4e16d57dd9a1b39,2008-12-10,UFC Fight Night - Fight for the Troops,Dale Hartt,Corey Hill,injury_finish,false,true,false,false,false,false,Corey Hill,"Hill suffered a broken leg after Hartt checked a kick; official result is KO/TKO but the finish was injury-driven.",high,ESPN,https://www.espn.com/extra/mma/news/story?id=5546907,reviewed
manual-0008,00bbcd4a6d647fdf,http://ufcstats.com/fight-details/00bbcd4a6d647fdf,2021-04-24,UFC 261: Usman vs. Masvidal 2,Anthony Smith,Jimmy Crute,injury_finish,false,true,false,false,false,false,Jimmy Crute,"Doctor stopped the fight after Crute could not continue due to leg damage from Smith's attack.",medium,ESPN,https://www.espn.com/mma/story/_/id/31317415/ufc-261-kamaru-usman-vs-jorge-masvidal-2-live-updates-results,reviewed
manual-0009,7ff036c99621eb1c,http://ufcstats.com/fight-details/7ff036c99621eb1c,2013-11-16,UFC 167: St-Pierre vs Hendricks,Georges St-Pierre,Johny Hendricks,controversial_decision,true,false,false,false,false,false,Johny Hendricks,"Widely disputed split decision; use as a controversial-decision adjustment candidate.",high,MMA Decisions,https://mmadecisions.com/decision/4707/Georges-St-Pierre-vs-Johny-Hendricks,reviewed
manual-0010,f079cb2db8dbbf04,http://ufcstats.com/fight-details/f079cb2db8dbbf04,2016-01-02,UFC 195: Lawler vs Condit,Robbie Lawler,Carlos Condit,controversial_decision,true,false,false,false,false,false,Carlos Condit,"Split decision frequently cited as controversial; MMA Decisions tracks split official cards and media/fan scoring.",high,MMA Decisions,https://mmadecisions.com/decision/6727/Robbie-Lawler-vs-Carlos-Condit,reviewed
